Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
56.5193	-0.3054	56.5092	3.6283
56.5364	-0.2970	56.5171	4.1564
56.5530	-0.2993	56.5255	4.1557
56.5697	-0.2983	56.5338	4.1570
56.5865	-0.2960	56.5421	4.1567
56.6032	-0.3015	56.5504	4.1560
56.6201	-0.3025	56.5588	4.1560
56.6367	-0.2980	56.5671	4.1570
56.6535	-0.2948	56.5754	4.1560
56.6699	-0.2954	56.5838	4.1557
56.6868	-0.3018	56.5921	4.1564
56.7034	-0.3002	56.6004	4.1560
56.7203	-0.2954	56.6088	4.1567
56.7367	-0.2948	56.6171	4.1567
56.7536	-0.2977	56.6254	4.1560
56.7704	-0.2903	56.6338	4.1573
56.7871	-0.2967	56.6421	4.1567
56.8037	-0.2967	56.6504	4.1560
56.8205	-0.2970	56.6588	4.1560
56.8368	-0.3009	56.6671	4.1570
   NaN	   NaN	56.6754	4.1554
   NaN	   NaN	56.6838	4.1573
   NaN	   NaN	56.6921	4.1570
   NaN	   NaN	56.7004	4.1560
   NaN	   NaN	56.7088	4.1567
   NaN	   NaN	56.7171	4.1573
   NaN	   NaN	56.7254	4.1551
   NaN	   NaN	56.7338	4.1560
   NaN	   NaN	56.7421	4.1560
   NaN	   NaN	56.7504	4.1557
   NaN	   NaN	56.7588	4.1564
   NaN	   NaN	56.7671	4.1564
   NaN	   NaN	56.7754	4.1560
   NaN	   NaN	56.7838	4.1567
   NaN	   NaN	56.7921	4.1560
   NaN	   NaN	56.8004	4.1554
   NaN	   NaN	56.8088	4.1564
   NaN	   NaN	56.8171	4.1567
   NaN	   NaN	56.8254	4.1554
   NaN	   NaN	56.8338	4.1570
   NaN	   NaN	56.8415	3.9094
