Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
54.1066	-0.2890	54.0957	3.7313
54.1192	-0.3006	54.1055	4.2172
54.1281	-0.2993	54.1160	4.2153
54.1389	-0.2996	54.1265	4.2150
54.1492	-0.2877	54.1371	4.2159
54.1600	-0.2893	54.1476	4.2156
54.1707	-0.2980	54.1581	4.2156
54.1812	-0.2964	54.1687	4.2156
54.1917	-0.2909	54.1792	4.2156
54.2025	-0.3018	54.1897	4.2156
54.2129	-0.2899	54.2002	4.2150
54.2233	-0.2999	54.2108	4.2153
54.2340	-0.2883	54.2213	4.2153
54.2445	-0.2883	54.2318	4.2166
54.2552	-0.2986	54.2423	4.2146
54.2657	-0.2912	54.2529	4.2156
54.2760	-0.2993	54.2634	4.2162
54.2867	-0.2999	54.2739	4.2156
54.2970	-0.2915	54.2844	4.2150
54.3078	-0.3044	54.2950	4.2153
54.3182	-0.2960	54.3055	4.2159
54.3291	-0.2989	54.3160	4.2156
54.3394	-0.2890	54.3266	4.2153
54.3498	-0.2957	54.3371	4.2156
54.3605	-0.2880	54.3476	4.2150
54.3708	-0.2935	54.3581	4.2150
54.3815	-0.2996	54.3687	4.2146
54.3920	-0.2970	54.3792	4.2153
54.4025	-0.3051	54.3897	4.2162
54.4132	-0.3002	54.4002	4.2150
54.4236	-0.2970	54.4108	4.2153
54.4342	-0.3051	54.4213	4.2156
54.4447	-0.2944	54.4318	4.2153
54.4551	-0.2848	54.4423	4.2150
54.4658	-0.2938	54.4529	4.2159
54.4763	-0.2890	54.4634	4.2156
54.4866	-0.3035	54.4739	4.2156
54.4973	-0.2970	54.4844	4.2146
54.5079	-0.3018	54.4950	4.2159
54.5184	-0.3009	54.5055	4.2159
   NaN	   NaN	54.5154	4.0282
