Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
58.9369	-0.3009	58.9283	3.5311
   NaN	   NaN	58.9346	4.0607
   NaN	   NaN	58.9413	4.0639
   NaN	   NaN	58.9480	4.0630
   NaN	   NaN	58.9546	4.0617
   NaN	   NaN	58.9613	4.0639
   NaN	   NaN	58.9680	4.0630
   NaN	   NaN	58.9746	4.0620
   NaN	   NaN	58.9813	4.0633
   NaN	   NaN	58.9880	4.0630
   NaN	   NaN	58.9946	4.0617
   NaN	   NaN	59.0013	4.0630
   NaN	   NaN	59.0080	4.0630
   NaN	   NaN	59.0146	4.0620
   NaN	   NaN	59.0213	4.0636
   NaN	   NaN	59.0280	4.0630
   NaN	   NaN	59.0346	4.0623
   NaN	   NaN	59.0413	4.0633
   NaN	   NaN	59.0480	4.0633
   NaN	   NaN	59.0546	4.0623
   NaN	   NaN	59.0613	4.0633
   NaN	   NaN	59.0680	4.0620
   NaN	   NaN	59.0746	4.0620
   NaN	   NaN	59.0813	4.0630
   NaN	   NaN	59.0880	4.0630
   NaN	   NaN	59.0946	4.0614
   NaN	   NaN	59.1013	4.0636
   NaN	   NaN	59.1080	4.0627
   NaN	   NaN	59.1146	4.0620
   NaN	   NaN	59.1213	4.0630
   NaN	   NaN	59.1280	4.0623
   NaN	   NaN	59.1346	4.0614
   NaN	   NaN	59.1413	4.0627
   NaN	   NaN	59.1480	4.0627
   NaN	   NaN	59.1546	4.0617
   NaN	   NaN	59.1613	4.0633
   NaN	   NaN	59.1680	4.0627
   NaN	   NaN	59.1746	4.0614
   NaN	   NaN	59.1813	4.0633
   NaN	   NaN	59.1880	4.0627
   NaN	   NaN	59.1941	3.7011
