Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
24.3467	-0.3315	24.3355	4.3144
24.5226	-0.3337	24.5329	4.2990
24.7334	-0.3437	24.7332	4.2990
24.9286	-0.3302	24.9336	4.2990
25.9315	-0.3379	25.1336	4.2990
26.5317	-0.3398	25.3328	4.2987
26.7315	-0.3324	25.5321	4.2987
27.1275	-0.3411	25.7327	4.2990
27.3283	-0.3340	25.9333	4.2993
27.5298	-0.3360	26.1338	4.2990
27.7289	-0.3369	26.3334	4.2993
28.1274	-0.3318	26.5329	4.2990
28.3321	-0.3350	26.7327	4.2987
28.5309	-0.3366	26.9327	4.2990
28.7306	-0.3379	27.1328	4.2993
28.9305	-0.3357	27.3330	4.2990
29.5311	-0.3305	27.5331	4.2990
29.7321	-0.3379	27.7327	4.2990
29.9279	-0.3373	27.9322	4.2990
30.1283	-0.3395	28.1330	4.2993
30.3264	-0.3331	28.3323	4.2987
30.7301	-0.3373	28.5327	4.2990
30.9343	-0.3347	28.7327	4.2987
31.1312	-0.3289	28.9327	4.2990
31.3296	-0.3347	29.1324	4.2987
31.5301	-0.3263	29.3328	4.2993
31.7312	-0.3299	29.5327	4.2987
31.9291	-0.3315	29.7325	4.2990
32.1284	-0.3321	29.9326	4.2990
32.3253	-0.3350	30.1332	4.2993
   NaN	   NaN	30.3330	4.2990
   NaN	   NaN	30.5334	4.2993
   NaN	   NaN	30.7333	4.2987
   NaN	   NaN	30.9333	4.2987
   NaN	   NaN	31.1326	4.2987
   NaN	   NaN	31.3323	4.2990
   NaN	   NaN	31.5331	4.2990
   NaN	   NaN	31.7331	4.2990
   NaN	   NaN	31.9327	4.2987
   NaN	   NaN	32.1330	4.2993
   NaN	   NaN	32.3321	4.2980
