Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
57.3659	-0.3064	57.3626	3.5932
57.3811	-0.2954	57.3700	4.1287
   NaN	   NaN	57.3777	4.1274
   NaN	   NaN	57.3854	4.1274
   NaN	   NaN	57.3930	4.1261
   NaN	   NaN	57.4007	4.1274
   NaN	   NaN	57.4084	4.1280
   NaN	   NaN	57.4161	4.1283
   NaN	   NaN	57.4238	4.1283
   NaN	   NaN	57.4315	4.1287
   NaN	   NaN	57.4392	4.1283
   NaN	   NaN	57.4469	4.1280
   NaN	   NaN	57.4546	4.1283
   NaN	   NaN	57.4623	4.1277
   NaN	   NaN	57.4700	4.1271
   NaN	   NaN	57.4777	4.1283
   NaN	   NaN	57.4854	4.1261
   NaN	   NaN	57.4931	4.1264
   NaN	   NaN	57.5007	4.1277
   NaN	   NaN	57.5084	4.1274
   NaN	   NaN	57.5161	4.1277
   NaN	   NaN	57.5238	4.1277
   NaN	   NaN	57.5315	4.1280
   NaN	   NaN	57.5392	4.1274
   NaN	   NaN	57.5469	4.1274
   NaN	   NaN	57.5546	4.1280
   NaN	   NaN	57.5623	4.1280
   NaN	   NaN	57.5700	4.1271
   NaN	   NaN	57.5777	4.1274
   NaN	   NaN	57.5854	4.1264
   NaN	   NaN	57.5930	4.1271
   NaN	   NaN	57.6007	4.1277
   NaN	   NaN	57.6084	4.1271
   NaN	   NaN	57.6161	4.1277
   NaN	   NaN	57.6238	4.1274
   NaN	   NaN	57.6315	4.1283
   NaN	   NaN	57.6392	4.1274
   NaN	   NaN	57.6469	4.1283
   NaN	   NaN	57.6546	4.1280
   NaN	   NaN	57.6623	4.1267
   NaN	   NaN	57.6693	3.8076
