Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
54.6193	-0.3018	54.6167	3.7069
54.6278	-0.2883	54.6261	4.2053
54.6377	-0.3009	54.6361	4.2056
54.6484	-0.2973	54.6461	4.2047
54.6582	-0.3031	54.6561	4.2043
54.6679	-0.2919	54.6661	4.2056
54.6782	-0.2841	54.6761	4.2043
54.6881	-0.2970	54.6861	4.2050
54.6981	-0.3002	54.6961	4.2050
54.7084	-0.3022	54.7061	4.2056
54.7183	-0.2964	54.7161	4.2053
54.7285	-0.2948	54.7261	4.2047
54.7382	-0.2980	54.7361	4.2056
54.7483	-0.2915	54.7461	4.2047
54.7583	-0.2941	54.7561	4.2053
54.7683	-0.3012	54.7661	4.2050
54.7782	-0.2970	54.7761	4.2050
54.7883	-0.2877	54.7861	4.2050
54.7984	-0.2828	54.7961	4.2047
54.8082	-0.3031	54.8061	4.2053
54.8183	-0.3054	54.8161	4.2047
54.8285	-0.2948	54.8261	4.2053
54.8384	-0.2925	54.8361	4.2053
54.8485	-0.2948	54.8461	4.2053
54.8584	-0.2948	54.8561	4.2056
54.8685	-0.2970	54.8661	4.2050
54.8785	-0.2948	54.8761	4.2053
54.8888	-0.2922	54.8861	4.2050
54.8989	-0.3012	54.8961	4.2056
54.9085	-0.2960	54.9061	4.2056
54.9186	-0.2912	54.9161	4.2053
54.9284	-0.3002	54.9261	4.2047
54.9385	-0.2906	54.9361	4.2047
54.9485	-0.2964	54.9461	4.2050
54.9588	-0.2993	54.9561	4.2056
54.9687	-0.2925	54.9661	4.2050
54.9786	-0.2983	54.9761	4.2050
54.9888	-0.2980	54.9861	4.2050
54.9989	-0.2973	54.9961	4.2053
55.0088	-0.2970	55.0061	4.2047
55.0186	-0.3070	55.0155	4.0285
