Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
57.7796	-0.2951	57.7703	3.5784
57.7960	-0.2948	57.7774	4.1145
57.8177	-0.3022	57.7848	4.1116
57.8330	-0.2941	57.7922	4.1135
57.8479	-0.2919	57.7996	4.1132
   NaN	   NaN	57.8070	4.1126
   NaN	   NaN	57.8144	4.1122
   NaN	   NaN	57.8218	4.1126
   NaN	   NaN	57.8292	4.1113
   NaN	   NaN	57.8366	4.1113
   NaN	   NaN	57.8441	4.1113
   NaN	   NaN	57.8515	4.1113
   NaN	   NaN	57.8589	4.1116
   NaN	   NaN	57.8663	4.1129
   NaN	   NaN	57.8737	4.1122
   NaN	   NaN	57.8811	4.1129
   NaN	   NaN	57.8885	4.1122
   NaN	   NaN	57.8959	4.1122
   NaN	   NaN	57.9033	4.1132
   NaN	   NaN	57.9107	4.1132
   NaN	   NaN	57.9181	4.1129
   NaN	   NaN	57.9255	4.1113
   NaN	   NaN	57.9329	4.1110
   NaN	   NaN	57.9403	4.1113
   NaN	   NaN	57.9478	4.1119
   NaN	   NaN	57.9552	4.1119
   NaN	   NaN	57.9626	4.1122
   NaN	   NaN	57.9700	4.1119
   NaN	   NaN	57.9774	4.1122
   NaN	   NaN	57.9848	4.1129
   NaN	   NaN	57.9922	4.1129
   NaN	   NaN	57.9996	4.1122
   NaN	   NaN	58.0070	4.1129
   NaN	   NaN	58.0144	4.1122
   NaN	   NaN	58.0218	4.1122
   NaN	   NaN	58.0292	4.1116
   NaN	   NaN	58.0366	4.1110
   NaN	   NaN	58.0440	4.1119
   NaN	   NaN	58.0515	4.1119
   NaN	   NaN	58.0589	4.1119
   NaN	   NaN	58.0656	3.7716
