Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
36.5402	-0.3253	36.5354	4.2684
36.5936	-0.3073	36.6001	4.2974
36.6613	-0.3076	36.6665	4.2974
36.6670	-0.3196	36.7334	4.2974
36.7282	-0.3196	36.7998	4.2971
36.7337	-0.3167	36.8665	4.2971
36.7953	-0.3183	36.9331	4.2971
36.8010	-0.3167	36.9997	4.2974
36.8616	-0.3118	37.0663	4.2977
36.8673	-0.3157	37.1333	4.2977
36.9284	-0.3154	37.1998	4.2974
36.9341	-0.3147	37.2665	4.2974
36.9951	-0.3102	37.3333	4.2971
37.0010	-0.3154	37.3996	4.2974
37.0617	-0.3083	37.4663	4.2967
37.0673	-0.3096	37.5330	4.2974
37.1284	-0.3054	37.5997	4.2977
37.1341	-0.3173	37.6664	4.2971
37.1951	-0.3054	37.7331	4.2971
37.2006	-0.3099	37.7999	4.2980
37.2618	-0.3121	37.8663	4.2974
37.2675	-0.3076	37.9330	4.2971
37.3284	-0.3160	37.9998	4.2974
37.3341	-0.3080	38.0666	4.2977
37.3953	-0.3173	38.1332	4.2974
37.4008	-0.3089	38.1997	4.2974
37.4620	-0.3112	38.2665	4.2974
37.5282	-0.3160	38.3332	4.2974
37.5340	-0.3150	38.3998	4.2974
37.5949	-0.3093	38.4662	4.2967
37.6006	-0.3186	38.5333	4.2971
37.6616	-0.3076	38.5997	4.2974
37.6677	-0.3150	38.6664	4.2974
37.7283	-0.3076	38.7332	4.2971
37.7339	-0.3163	38.7996	4.2971
37.7951	-0.3115	38.8665	4.2971
37.8014	-0.3105	38.9333	4.2977
37.8616	-0.3086	38.9999	4.2977
37.8673	-0.3086	39.0663	4.2971
37.9285	-0.3089	39.1331	4.2974
37.9346	-0.3154	39.1989	4.2890
37.9952	-0.3131	   NaN	   NaN
38.0009	-0.3086	   NaN	   NaN
38.0620	-0.3080	   NaN	   NaN
38.0684	-0.3144	   NaN	   NaN
38.1281	-0.3099	   NaN	   NaN
38.1340	-0.3144	   NaN	   NaN
38.1949	-0.3189	   NaN	   NaN
38.2009	-0.3067	   NaN	   NaN
38.2621	-0.3102	   NaN	   NaN
38.3283	-0.3070	   NaN	   NaN
38.3342	-0.3134	   NaN	   NaN
38.3950	-0.3080	   NaN	   NaN
38.4010	-0.3141	   NaN	   NaN
38.4617	-0.3083	   NaN	   NaN
38.4684	-0.3173	   NaN	   NaN
38.5283	-0.3096	   NaN	   NaN
38.5340	-0.3054	   NaN	   NaN
38.5950	-0.3015	   NaN	   NaN
38.6007	-0.3022	   NaN	   NaN
38.6619	-0.3099	   NaN	   NaN
38.6680	-0.3067	   NaN	   NaN
38.7284	-0.3067	   NaN	   NaN
38.7347	-0.3115	   NaN	   NaN
38.7952	-0.3086	   NaN	   NaN
38.8009	-0.3073	   NaN	   NaN
38.8616	-0.3102	   NaN	   NaN
38.8674	-0.3099	   NaN	   NaN
38.9286	-0.3041	   NaN	   NaN
38.9349	-0.3118	   NaN	   NaN
38.9951	-0.3170	   NaN	   NaN
39.0008	-0.3121	   NaN	   NaN
39.0619	-0.3093	   NaN	   NaN
39.0681	-0.3160	   NaN	   NaN
39.1286	-0.3093	   NaN	   NaN
39.1352	-0.3022	   NaN	   NaN
39.1950	-0.3115	   NaN	   NaN
39.2010	-0.3093	   NaN	   NaN
