Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
56.0715	-0.3047	56.0613	3.6460
56.0819	-0.3044	56.0696	4.1683
56.0984	-0.2912	56.0783	4.1692
56.1162	-0.3031	56.0870	4.1692
56.1335	-0.2986	56.0956	4.1679
56.1510	-0.3006	56.1043	4.1692
56.1684	-0.2954	56.1131	4.1686
56.1857	-0.2964	56.1218	4.1686
56.2031	-0.2967	56.1304	4.1689
56.2206	-0.2954	56.1391	4.1702
56.2379	-0.3006	56.1478	4.1696
56.2554	-0.3025	56.1565	4.1692
56.2729	-0.2935	56.1652	4.1692
56.2902	-0.2960	56.1739	4.1696
56.3075	-0.2964	56.1826	4.1699
56.3250	-0.2938	56.1913	4.1702
56.3422	-0.2957	56.2000	4.1699
56.3596	-0.2964	56.2087	4.1699
56.3773	-0.2977	56.2174	4.1699
56.3944	-0.2964	56.2261	4.1689
56.4123	-0.2922	56.2348	4.1696
   NaN	   NaN	56.2435	4.1699
   NaN	   NaN	56.2522	4.1699
   NaN	   NaN	56.2609	4.1692
   NaN	   NaN	56.2696	4.1699
   NaN	   NaN	56.2783	4.1699
   NaN	   NaN	56.2870	4.1692
   NaN	   NaN	56.2957	4.1689
   NaN	   NaN	56.3044	4.1689
   NaN	   NaN	56.3131	4.1689
   NaN	   NaN	56.3217	4.1692
   NaN	   NaN	56.3304	4.1689
   NaN	   NaN	56.3391	4.1692
   NaN	   NaN	56.3478	4.1692
   NaN	   NaN	56.3565	4.1686
   NaN	   NaN	56.3652	4.1689
   NaN	   NaN	56.3739	4.1696
   NaN	   NaN	56.3826	4.1699
   NaN	   NaN	56.3913	4.1702
   NaN	   NaN	56.4000	4.1708
   NaN	   NaN	56.4081	3.9406
