Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
32.4365	-0.3402	32.4355	4.2971
32.5212	-0.3225	32.5330	4.2980
32.5263	-0.3208	32.6332	4.2980
32.6228	-0.3324	32.7333	4.2987
32.6279	-0.3247	32.8334	4.2984
32.7233	-0.3302	32.9332	4.2984
32.7286	-0.3282	33.0329	4.2980
32.8238	-0.3295	33.1328	4.2984
32.8293	-0.3282	33.2332	4.2984
32.9241	-0.3289	33.3333	4.2980
32.9296	-0.3311	33.4331	4.2980
33.0241	-0.3318	33.5330	4.2980
33.0296	-0.3202	33.6328	4.2984
33.1240	-0.3308	33.7333	4.2984
33.1295	-0.3183	33.8328	4.2980
33.2246	-0.3270	33.9331	4.2980
33.2300	-0.3234	34.0328	4.2980
33.3245	-0.3347	34.1330	4.2984
33.3303	-0.3302	34.2330	4.2984
33.4246	-0.3292	34.3331	4.2990
33.4302	-0.3279	34.4331	4.2984
33.5247	-0.3315	34.5330	4.2987
33.5301	-0.3337	34.6334	4.2984
33.6245	-0.3382	34.7329	4.2980
33.6302	-0.3244	34.8333	4.2984
33.7247	-0.3260	34.9333	4.2984
33.7302	-0.3215	35.0328	4.2980
33.8245	-0.3292	35.1331	4.2984
33.8301	-0.3247	35.2329	4.2980
33.9242	-0.3295	35.3329	4.2984
33.9299	-0.3292	35.4331	4.2984
34.0246	-0.3234	35.5330	4.2984
34.0301	-0.3334	35.6327	4.2984
34.1249	-0.3173	35.7329	4.2984
34.1304	-0.3237	35.8329	4.2980
34.2247	-0.3228	35.9329	4.2984
34.2304	-0.3189	36.0331	4.2984
34.3247	-0.3324	36.1330	4.2987
34.3302	-0.3279	36.2332	4.2984
34.4245	-0.3363	36.3331	4.2987
34.4304	-0.3234	36.4321	4.2951
34.5246	-0.3260	   NaN	   NaN
34.5303	-0.3173	   NaN	   NaN
34.6248	-0.3260	   NaN	   NaN
34.6306	-0.3266	   NaN	   NaN
34.7246	-0.3286	   NaN	   NaN
34.7303	-0.3253	   NaN	   NaN
34.8248	-0.3247	   NaN	   NaN
34.8308	-0.3186	   NaN	   NaN
34.9247	-0.3299	   NaN	   NaN
34.9316	-0.3234	   NaN	   NaN
35.0248	-0.3228	   NaN	   NaN
35.0305	-0.3173	   NaN	   NaN
35.1250	-0.3176	   NaN	   NaN
35.1316	-0.3138	   NaN	   NaN
35.2251	-0.3138	   NaN	   NaN
35.2310	-0.3199	   NaN	   NaN
35.3250	-0.3186	   NaN	   NaN
35.3306	-0.3234	   NaN	   NaN
35.4247	-0.3247	   NaN	   NaN
35.4308	-0.3138	   NaN	   NaN
35.5250	-0.3144	   NaN	   NaN
35.5313	-0.3163	   NaN	   NaN
35.6249	-0.3241	   NaN	   NaN
35.6307	-0.3263	   NaN	   NaN
35.7248	-0.3308	   NaN	   NaN
35.7316	-0.3173	   NaN	   NaN
35.8249	-0.3154	   NaN	   NaN
35.8308	-0.3234	   NaN	   NaN
35.9249	-0.3266	   NaN	   NaN
35.9311	-0.3231	   NaN	   NaN
36.0250	-0.3218	   NaN	   NaN
36.0311	-0.3260	   NaN	   NaN
36.1248	-0.3199	   NaN	   NaN
36.1305	-0.3147	   NaN	   NaN
36.2253	-0.3263	   NaN	   NaN
36.2312	-0.3128	   NaN	   NaN
36.3248	-0.3270	   NaN	   NaN
36.3307	-0.3205	   NaN	   NaN
36.4248	-0.3173	   NaN	   NaN
36.4305	-0.3186	   NaN	   NaN
