Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
58.5611	-0.3018	58.5524	3.5478
58.5770	-0.2886	58.5590	4.0797
58.5900	-0.3009	58.5659	4.0804
58.6051	-0.2893	58.5728	4.0797
58.6176	-0.2986	58.5797	4.0797
   NaN	   NaN	58.5866	4.0791
   NaN	   NaN	58.5935	4.0794
   NaN	   NaN	58.6004	4.0791
   NaN	   NaN	58.6072	4.0784
   NaN	   NaN	58.6141	4.0784
   NaN	   NaN	58.6210	4.0794
   NaN	   NaN	58.6279	4.0791
   NaN	   NaN	58.6348	4.0797
   NaN	   NaN	58.6417	4.0794
   NaN	   NaN	58.6486	4.0800
   NaN	   NaN	58.6555	4.0800
   NaN	   NaN	58.6624	4.0800
   NaN	   NaN	58.6693	4.0800
   NaN	   NaN	58.6762	4.0800
   NaN	   NaN	58.6831	4.0804
   NaN	   NaN	58.6900	4.0804
   NaN	   NaN	58.6969	4.0800
   NaN	   NaN	58.7038	4.0804
   NaN	   NaN	58.7107	4.0800
   NaN	   NaN	58.7176	4.0807
   NaN	   NaN	58.7245	4.0810
   NaN	   NaN	58.7314	4.0807
   NaN	   NaN	58.7383	4.0804
   NaN	   NaN	58.7452	4.0804
   NaN	   NaN	58.7521	4.0797
   NaN	   NaN	58.7590	4.0797
   NaN	   NaN	58.7659	4.0800
   NaN	   NaN	58.7728	4.0797
   NaN	   NaN	58.7797	4.0794
   NaN	   NaN	58.7866	4.0788
   NaN	   NaN	58.7935	4.0778
   NaN	   NaN	58.8004	4.0791
   NaN	   NaN	58.8072	4.0791
   NaN	   NaN	58.8141	4.0784
   NaN	   NaN	58.8210	4.0788
   NaN	   NaN	58.8273	3.7342
