Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
56.9527	-0.3038	56.9426	3.6106
56.9693	-0.2993	56.9502	4.1428
56.9860	-0.2996	56.9582	4.1425
57.0012	-0.3073	56.9662	4.1422
57.0179	-0.2935	56.9742	4.1425
57.0334	-0.3015	56.9822	4.1428
57.0493	-0.2964	56.9902	4.1419
57.0659	-0.2954	56.9982	4.1419
57.0816	-0.2951	57.0062	4.1422
57.0978	-0.2999	57.0142	4.1425
   NaN	   NaN	57.0222	4.1419
   NaN	   NaN	57.0302	4.1422
   NaN	   NaN	57.0382	4.1422
   NaN	   NaN	57.0462	4.1422
   NaN	   NaN	57.0542	4.1432
   NaN	   NaN	57.0622	4.1425
   NaN	   NaN	57.0702	4.1425
   NaN	   NaN	57.0782	4.1415
   NaN	   NaN	57.0862	4.1422
   NaN	   NaN	57.0942	4.1425
   NaN	   NaN	57.1022	4.1419
   NaN	   NaN	57.1102	4.1422
   NaN	   NaN	57.1182	4.1419
   NaN	   NaN	57.1262	4.1419
   NaN	   NaN	57.1342	4.1422
   NaN	   NaN	57.1422	4.1415
   NaN	   NaN	57.1502	4.1428
   NaN	   NaN	57.1582	4.1425
   NaN	   NaN	57.1662	4.1425
   NaN	   NaN	57.1742	4.1422
   NaN	   NaN	57.1822	4.1419
   NaN	   NaN	57.1902	4.1425
   NaN	   NaN	57.1982	4.1422
   NaN	   NaN	57.2062	4.1419
   NaN	   NaN	57.2142	4.1415
   NaN	   NaN	57.2222	4.1428
   NaN	   NaN	57.2302	4.1425
   NaN	   NaN	57.2382	4.1412
   NaN	   NaN	57.2462	4.1422
   NaN	   NaN	57.2542	4.1415
   NaN	   NaN	57.2616	3.9020
