Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
58.1698	-0.3102	58.1666	3.5632
58.1841	-0.3015	58.1734	4.0981
58.2198	-0.3002	58.1806	4.0958
58.2709	-0.2925	58.1877	4.0974
58.2847	-0.2861	58.1948	4.0952
58.2991	-0.2941	58.2020	4.0968
   NaN	   NaN	58.2091	4.0961
   NaN	   NaN	58.2163	4.0958
   NaN	   NaN	58.2234	4.0968
   NaN	   NaN	58.2306	4.0961
   NaN	   NaN	58.2377	4.0971
   NaN	   NaN	58.2448	4.0958
   NaN	   NaN	58.2520	4.0974
   NaN	   NaN	58.2591	4.0961
   NaN	   NaN	58.2663	4.0971
   NaN	   NaN	58.2734	4.0971
   NaN	   NaN	58.2806	4.0955
   NaN	   NaN	58.2877	4.0971
   NaN	   NaN	58.2949	4.0952
   NaN	   NaN	58.3020	4.0965
   NaN	   NaN	58.3091	4.0955
   NaN	   NaN	58.3163	4.0955
   NaN	   NaN	58.3234	4.0965
   NaN	   NaN	58.3306	4.0955
   NaN	   NaN	58.3377	4.0971
   NaN	   NaN	58.3448	4.0961
   NaN	   NaN	58.3520	4.0971
   NaN	   NaN	58.3591	4.0955
   NaN	   NaN	58.3663	4.0968
   NaN	   NaN	58.3734	4.0965
   NaN	   NaN	58.3806	4.0958
   NaN	   NaN	58.3877	4.0971
   NaN	   NaN	58.3949	4.0961
   NaN	   NaN	58.4020	4.0958
   NaN	   NaN	58.4091	4.0952
   NaN	   NaN	58.4163	4.0965
   NaN	   NaN	58.4234	4.0971
   NaN	   NaN	58.4306	4.0955
   NaN	   NaN	58.4377	4.0971
   NaN	   NaN	58.4449	4.0955
   NaN	   NaN	58.4514	3.8073
